"Monthly Climate Statistics for 'SYDNEY (OBSERVATORY HILL)' [066062]"
"Created on [ 30 Oct 2019 16:27:51 GMT+00:00]"

"066062 SYDNEY (OBSERVATORY HILL)"
"Commenced: 1858"
"Last Record: 2019"
"Latitude:   33.86 Degrees South"
"Longitude:  151.21 Degrees East"
"Elevation:      39 m"
"State: NSW"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1859 to 2019 ",26.0,25.8,24.8,22.5,19.5,17.0,16.4,17.9,20.1,22.2,23.7,25.2,21.8,161,1859,2019
"Highest temperature (Degrees C) for years 1859 to 2019 ",45.8,42.1,39.8,35.4,30.0,26.9,26.5,31.3,34.6,38.2,41.8,42.2,45.8,161,1859,2019
"Date of Highest temperature for years 1859 to 2019 ",18 Jan  2013,08 Feb  1926,09 Mar  1983,09 Apr  2018,01 May  1919,11 Jun  1931,30 Jul  2017,26 Aug  1995,26 Sep  1965,13 Oct  2004,25 Nov  1982,20 Dec  1957,18 Jan  2013,N/A,1859,2019
"Lowest maximum temperature (Degrees C) for years 1859 to 2019 ",17.2,15.6,16.2,13.8,11.3,9.7,7.7,9.1,9.5,12.1,12.6,15.2,7.7,161,1859,2019
"Date of Lowest maximum temperature for years 1859 to 2019 ",14 Jan  1948,28 Feb  1863,13 Mar  1886,22 Apr  1927,24 May  1904,13 Jun  1899,19 Jul  1868,09 Aug  1872,08 Sep  1869,02 Oct  1871,16 Nov  1988,24 Dec  1870,19 Jul  1868,N/A,1859,2019
"Decile 1 maximum temperature (Degrees C) for years 1859 to 2019 ",22.1,22.2,21.3,18.9,16.2,14.0,13.4,14.4,16.0,17.6,19.3,21.1, ,162,1859,2019
"Decile 9 maximum temperature (Degrees C) for years 1859 to 2019 ",30.1,29.4,28.2,26.1,23.0,20.1,19.6,21.7,25.1,27.8,28.9,30.2, ,162,1859,2019
"Mean number of days >= 30 Degrees C for years 1859 to 2019 ",3.2,2.3,1.6,0.4,0.0,0.0,0.0,0.0,0.4,1.6,2.3,3.3,15.1,161,1859,2019
"Mean number of days >= 35 Degrees C for years 1859 to 2019 ",0.9,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.8,3.2,161,1859,2019
"Mean number of days >= 40 Degrees C for years 1859 to 2019 ",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,161,1859,2019
"Mean minimum temperature (Degrees C) for years 1859 to 2019 ",18.8,18.9,17.6,14.7,11.6,9.3,8.1,9.0,11.1,13.6,15.7,17.6,13.8,161,1859,2019
"Lowest temperature (Degrees C) for years 1859 to 2019 ",10.6,9.6,9.3,7.0,4.4,2.1,2.2,2.7,4.9,5.7,7.7,9.1,2.1,161,1859,2019
"Date of Lowest temperature for years 1859 to 2019 ",18 Jan  1949,28 Feb  1863,14 Mar  1886,27 Apr  1864,30 May  1862,22 Jun  1932,12 Jul  1890,03 Aug  1872,02 Sep  1945,06 Oct  1927,01 Nov  1905,03 Dec  1924,22 Jun  1932,N/A,1859,2019
"Highest minimum temperature (Degrees C) for years 1859 to 2019 ",26.2,27.6,25.4,24.3,20.8,18.4,18.1,19.7,23.0,25.6,24.8,27.1,27.6,161,1859,2019
"Date of Highest minimum temperature for years 1859 to 2019 ",08 Jan  1994,06 Feb  2011,26 Mar  1876,05 Apr  1986,03 May  1942,18 Jun  1873,02 Jul  1942,30 Aug  1885,24 Sep  2017,03 Oct  1981,14 Nov  1967,14 Dec  2016,06 Feb  2011,N/A,1859,2019
"Decile 1 minimum temperature (Degrees C) for years 1859 to 2019 ",16.1,16.1,14.7,11.5,8.6,6.4,5.5,6.2,7.9,10.2,12.4,14.6, ,162,1859,2019
"Decile 9 minimum temperature (Degrees C) for years 1859 to 2019 ",21.3,21.4,20.4,17.9,14.7,12.5,11.0,12.1,14.7,17.0,18.7,20.3, ,162,1859,2019
"Mean number of days <= 2 Degrees C for years 1859 to 2019 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,1859,2019
"Mean number of days <= 0 Degrees C for years 1859 to 2019 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,1859,2019
"Mean daily ground minimum temperature Degrees C for years 1955 to 1990 ",16.7,17.0,15.5,12.5,9.1,6.7,5.2,6.0,7.9,10.7,13.0,15.2,11.3,36,1955,1990
"Lowest ground temperature Degrees C for years 1955 to 1990 ",8.9,9.7,6.7,3.3,0.8,-0.5,-3.9,-1.0,-0.4,2.3,1.9,7.8,-3.9,36,1955,1990
"Date of Lowest ground temperature  for years 1955 to 1990 ",02 Jan  1972,21 Feb  1966,09 Mar  1987,27 Apr  1970,27 May  1968,05 Jun  1973,26 Jul  1968,02 Aug  1986,12 Sep  1970,16 Oct  1970,21 Nov  1967,26 Dec  1968,26 Jul  1968,N/A,1955,1990
"Mean number of days ground min. temp. <= -1 Degrees C for years 1955 to 1990 ",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,36,1955,1990
"Mean rainfall (mm) for years 1858 to 2019 ",101.4,117.3,131.4,127.1,117.4,133.5,95.7,80.2,68.1,77.0,84.2,77.6,1215.7,158,1858,2019
"Highest rainfall (mm) for years 1858 to 2019 ",387.1,630.6,521.4,622.1,585.0,642.7,336.1,482.6,355.8,285.0,517.2,401.9,2194.0,161,1858,2019
"Date of Highest rainfall for years 1858 to 2019 ",1911,1990,1942,1861,1919,1950,1950,1998,1879,1987,1961,1920,1950,N/A,1858,2019
"Lowest rainfall (mm) for years 1858 to 2019 ",5.6,3.0,8.4,1.4,3.0,4.1,1.8,0.0,0.2,0.6,1.9,2.8,583.0,161,1858,2019
"Date of Lowest rainfall for years 1858 to 2019 ",1985,1939,1965,1868,2008,1962,1970,1995,2017,1988,1915,1979,1888,N/A,1858,2019
"Decile 1 monthly rainfall (mm) for years 1858 to 2019 ",25.9,19.8,32.0,23.2,16.6,24.8,11.2,8.4,13.8,18.2,16.0,21.6,822.5,161,1858,2019
"Decile 5 (median) monthly rainfall (mm) for years 1858 to 2019 ",78.6,93.6,101.3,96.6,89.6,103.8,71.0,54.7,51.9,55.5,66.9,59.7,1169.6,161,1858,2019
"Decile 9 monthly rainfall (mm) for years 1858 to 2019 ",191.0,254.0,279.1,268.4,266.1,300.5,221.1,185.7,148.9,174.9,166.2,161.2,1649.3,161,1858,2019
"Highest daily rainfall (mm) for years 1858 to 2019 ",191.0,243.6,280.7,191.0,212.3,150.6,198.1,327.6,144.5,161.8,234.6,126.0,327.6,161,1858,2019
"Date of Highest daily rainfall for years 1858 to 2019 ",17 Jan  1988,03 Feb  1990,28 Mar  1942,29 Apr  1860,28 May  1889,11 Jun  1991,07 Jul  1931,06 Aug  1986,10 Sep  1879,13 Oct  1902,09 Nov  1984,09 Dec  1970,06 Aug  1986,N/A,1858,2019
"Mean number of days of rain for years 1858 to 2019 ",12.1,12.4,13.7,12.8,12.9,12.6,11.0,10.3,10.5,11.6,11.6,11.5,143.0,161,1858,2019
"Mean number of days of rain >= 1 mm for years 1858 to 2019 ",8.6,9.0,9.9,9.0,8.6,8.8,7.4,7.2,7.1,8.0,8.4,8.0,100.0,161,1858,2019
"Mean number of days of rain >= 10 mm for years 1858 to 2019 ",2.7,2.9,3.5,3.4,3.2,3.6,2.7,2.1,1.9,2.0,2.4,2.3,32.7,161,1858,2019
"Mean number of days of rain >= 25 mm for years 1858 to 2019 ",1.1,1.2,1.4,1.4,1.3,1.6,1.0,0.8,0.6,0.7,0.7,0.7,12.5,161,1858,2019
"Mean daily wind run (km) for years 1955 to 1992 ",316,296,272,274,284,304,323,331,323,322,332,326,309,37,1955,1992
"Maximum wind gust speed (km/h) for years 1955 to 1992 ",150,111,97,106,135,135,106,113,131,113,118,121,150,37,1955,1992
"Date of Maximum wind gust speed for years 1955 to 1992 ",19 Jan  1958,11 Feb  1978,02 Mar  1985,22 Apr  1972,04 May  1971,10 Jun  1956,20 Jul  1959,21 Aug  1981,30 Sep  1968,10 Oct  1957,10 Nov  1977,02 Dec  1957,19 Jan  1958,N/A,1955,1992
"Mean daily sunshine (hours) for years 1955 to 1992 ",7.1,6.7,6.4,6.4,5.9,5.5,6.4,7.1,7.2,7.2,7.8,7.6,6.8,37,1955,1992
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2019 ",22.9,20.1,17.0,13.6,10.3,8.5,9.8,13.1,16.9,19.9,21.6,23.1,16.4,30,1990,2019
"Mean number of clear days for years 1955 to 2010 ",6.8,5.3,7.1,9.1,9.5,9.1,12.0,13.4,10.9,8.1,6.0,6.6,103.9,56,1955,2010
"Mean number of cloudy days for years 1955 to 2010 ",13.4,13.0,12.8,10.7,10.8,10.9,8.7,7.7,8.5,11.4,12.5,12.8,133.2,56,1955,2010
"Mean daily evaporation (mm) for years 1955 to 1966 ",4.6,3.9,3.1,2.6,1.9,1.2,1.5,1.9,2.5,3.3,4.3,4.4,2.9,12,1955,1966
"Mean 9am temperature (Degrees C) for years 1955 to 2010 ",22.5,22.3,21.1,18.2,14.6,11.9,10.9,12.5,15.7,18.5,19.9,21.6,17.5,56,1955,2010
"Mean 9am wet bulb temperature (Degrees C) for years 1955 to 2010 ",19.0,19.3,18.1,15.3,12.1,9.7,8.5,9.5,11.9,14.3,16.0,17.7,14.3,56,1955,2010
"Mean 9am dew point temperature (Degrees C) for years 1955 to 2010 ",16.6,17.3,16.0,12.9,9.7,7.2,5.5,5.9,8.0,10.5,12.8,14.9,11.4,56,1955,2010
"Mean 9am relative humidity (%) for years 1955 to 2010 ",71,74,74,72,74,74,71,66,62,61,66,67,69,56,1955,2010
"Mean 9am cloud cover (okas) for years 1955 to 2010 ",4.9,5.2,4.7,4.1,4.0,4.0,3.5,3.3,3.8,4.4,4.8,4.9,4.3,56,1955,2010
"Mean 9am wind speed (km/h) for years 1955 to 1992 ",8.6,8.2,7.9,8.8,10.5,11.9,13.1,13.3,12.4,12.2,11.0,9.8,10.6,37,1955,1992
"Mean 3pm temperature (Degrees C) for years 1955 to 2010 ",24.8,24.9,24.0,22.0,19.4,16.9,16.4,17.5,19.2,20.7,22.1,23.8,21.0,56,1955,2010
"Mean 3pm wet bulb temperature (Degrees C) for years 1955 to 2010 ",19.8,20.2,19.1,17.0,14.5,12.4,11.4,11.9,13.5,15.3,16.9,18.5,15.9,56,1955,2010
"Mean 3pm dew point temperature (Degrees C) for years 1955 to 2010 ",16.6,17.2,15.8,13.1,10.1,7.8,5.7,5.9,7.9,10.5,12.8,14.8,11.5,56,1955,2010
"Mean 3pm relative humidity (%) for years 1955 to 2010 ",62,64,62,59,57,57,51,49,51,56,58,59,57,56,1955,2010
"Mean 3pm cloud cover (oktas) for years 1955 to 2010 ",4.6,4.8,4.5,4.2,4.3,4.4,3.8,3.7,3.9,4.4,4.7,4.6,4.3,56,1955,2010
"Mean 3pm wind speed (km/h) for years 1955 to 1991 ",17.9,16.8,15.2,13.8,12.7,13.6,15.3,17.6,18.3,19.1,19.4,19.5,16.6,37,1955,1991
